,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time
611,mobile,,11.0,5.0,25.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,20.0,60.0,0.0,3.0,4.0,45.0,4.0,8.0,0.0,1.0,0.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0
1414,pc/laptop,,9.0,5.0,25.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,12.0,43.0,0.0,10.0,43.0,60.0,0.0,9.0,0.0,1.0,5.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,15.0
1203,pc/laptop,,13.0,5.0,26.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,56.0,3.0,30.0,56.0,0.0,0.0,8.0,0.5,6.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0
1537,pc/laptop,,1.0,5.0,25.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,3.0,1.0,2.0,8.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,
1173,pc/laptop,,10.0,5.0,24.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,40.0,20.0,2.0,12.0,56.0,2.0,6.0,6.0,0.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,15.0
604,pc/laptop,,12.0,5.0,24.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,15.0,26.0,3.0,10.0,45.0,0.0,2.0,8.0,0.5,1.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0
1263,pc/laptop,,14.0,5.0,28.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,70.0,0.0,5.0,5.0,56.0,0.0,8.0,0.0,5.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0
1552,pc/laptop,,6.0,5.0,29.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,26.0,3.0,10.0,8.0,0.0,1.0,6.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,10.0
511,pc/laptop,,20.0,5.0,71.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,15.0,12.0,42.0,2.0,1.0,0.0,5.0,1.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
1525,pc/laptop,,14.0,5.0,27.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,40.0,40.0,10.0,15.0,70.0,0.0,8.0,8.0,1.0,2.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,7.0
203,pc/laptop,,10.0,5.0,,2.0,6.0,4.0,4.0,3.0,4.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,20.0,30.0,15.0,8.0,6.0,,0.0,5.0,5.0,1.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
1023,pc/laptop,,7.0,5.0,30.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,15.0,10.0,8.0,20.0,50.0,0.0,2.0,3.0,0.5,10.0,9.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,15.0
1548,pc/laptop,,1.0,5.0,31.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,10.0,2.0,0.0,2.0,2.0,8.0,8.0,4.0,0.0,2.0,0.0,10.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,10.0
623,pc/laptop,,12.0,5.0,27.0,1.0,5.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,45.0,,60.0,5.0,10.0,45.0,0.0,0.0,5.0,0.0,10.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,7.0
267,pc/laptop,,17.0,5.0,30.0,2.0,5.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,40.0,10.0,9.0,2.0,6.0,30.0,8.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,10.0
1375,pc/laptop,,2.0,5.0,26.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,3.0,3.0,1.0,6.0,8.0,0.0,2.0,2.0,6.0,6.0,8.0,0.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
748,pc/laptop,,12.0,5.0,26.0,2.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,30.0,5.0,6.0,10.0,30.0,49.0,0.0,0.0,9.0,0.0,9.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0
876,pc/laptop,,14.0,5.0,25.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,35.0,8.0,25.0,50.0,0.0,0.0,0.0,1.0,7.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0
1138,pc/laptop,,20.0,5.0,34.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,5.0,40.0,0.0,2.0,4.0,56.0,0.0,10.0,0.0,1.0,0.0,8.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0
1089,pc/laptop,,12.0,5.0,28.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,15.0,19.0,4.0,4.0,55.0,2.0,4.0,5.0,1.5,2.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
695,pc/laptop,,17.0,5.0,31.0,2.0,6.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,,2.0,1.0,8.0,7.0,2.0,49.0,0.0,0.0,4.0,0.5,2.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0
1450,pc/laptop,,14.0,5.0,27.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,10.0,25.0,20.0,5.0,20.0,60.0,0.0,10.0,0.0,3.0,3.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0
469,pc/laptop,,4.0,5.0,33.0,1.0,7.0,4.0,1.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,8.0,10.0,28.0,7.0,0.0,42.0,5.0,2.0,0.0,2.0,0.0,8.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,10.0
1506,pc/laptop,,2.0,5.0,28.0,1.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,8.0,2.0,1.0,3.0,7.0,3.0,8.0,0.0,1.0,4.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,15.0
702,pc/laptop,,11.0,5.0,26.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,8.0,65.0,0.0,3.0,8.0,49.0,0.0,12.5,0.0,1.0,0.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,6.0
262,pc/laptop,,13.0,5.0,25.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,20.0,15.0,0.0,6.0,20.0,30.0,8.0,4.0,0.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,8.0
1484,pc/laptop,,17.0,5.0,29.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,20.0,10.0,8.0,20.0,65.0,2.0,2.0,4.0,0.0,3.0,9.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
1491,mobile,,8.0,5.0,28.0,1.0,6.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,0.10000000149011612,8.0,0.0,0.0,2.0,7.0,0.0,9.0,0.0,0.0,2.0,7.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0
